               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10835,            0.023527,            0.048271,             0.94758,             0.11741,             0.11795,            0.041534,             0.08701,            0.018999,             0.03851,              0.0701,           0.0033222,           0.0033222
                   1,            0.071332,            0.021167,            0.033296,             0.42594,             0.61295,              0.4603,             0.16567,            0.057313,            0.012519,            0.021829,            0.040067,           0.0066226,           0.0066226
                   2,              0.0615,            0.015744,            0.017104,             0.66881,             0.67694,              0.6739,             0.25377,            0.052448,            0.011366,            0.012844,            0.010001,             0.00989,             0.00989
                   3,            0.056639,            0.014237,           0.0091948,             0.70796,             0.77937,             0.74688,             0.25916,            0.055409,           0.0099719,           0.0057029,           0.0098515,           0.0098515,           0.0098515
                   4,            0.052532,            0.013325,            0.006588,             0.90433,             0.88563,              0.9196,             0.35608,            0.045789,           0.0089146,            0.003445,           0.0098515,           0.0098515,           0.0098515
                   5,            0.050402,            0.012416,           0.0052785,             0.90701,             0.81968,             0.88214,             0.35368,            0.045783,           0.0094106,           0.0056656,            0.009802,            0.009802,            0.009802
                   6,            0.048643,            0.012617,           0.0049674,             0.92441,             0.91679,             0.93874,             0.41786,            0.043702,           0.0083627,           0.0028853,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04656,            0.012295,           0.0046893,             0.92286,             0.91729,             0.93882,             0.40239,            0.041681,            0.008506,           0.0024709,            0.009703,            0.009703,            0.009703
                   8,            0.045818,            0.011736,           0.0038898,             0.92791,             0.92481,             0.94895,             0.40746,             0.04205,           0.0082935,           0.0026322,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044443,            0.011384,           0.0033734,             0.93502,             0.93612,             0.95601,             0.43413,            0.038816,           0.0081332,           0.0016622,            0.009604,            0.009604,            0.009604
                  10,            0.044052,            0.011415,           0.0031924,             0.94018,             0.93367,             0.95574,             0.44187,             0.03901,           0.0081265,           0.0019951,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042644,            0.011089,           0.0029159,             0.94175,             0.93732,             0.95535,             0.42384,            0.039057,           0.0080561,           0.0017804,            0.009505,            0.009505,            0.009505
                  12,            0.042233,            0.010922,           0.0026405,             0.95004,             0.95207,             0.95938,             0.45136,            0.038045,           0.0077512,           0.0012437,           0.0094555,           0.0094555,           0.0094555
